,index,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro ,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência_x,Estados de Ocorrência_y,lats_longs_animals
430,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,SE,[-36.86505849  -8.97698833]
431,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,SP,[-44.59838448 -21.55801106]
432,1084,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus marginatus,Garoupa-verdadeira,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,ES; RJ; SP; PR; SC; RS,ES,[-38.82388998 -20.24001006]
433,1084,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus marginatus,Garoupa-verdadeira,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,ES; RJ; SP; PR; SC; RS,RJ,[-39.35293114 -20.97762858]
434,1084,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus marginatus,Garoupa-verdadeira,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,ES; RJ; SP; PR; SC; RS,SP,[-46.24236224 -19.04887577]
435,1084,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus marginatus,Garoupa-verdadeira,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,ES; RJ; SP; PR; SC; RS,PR,[-47.32374463 -23.069215  ]
436,1084,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus marginatus,Garoupa-verdadeira,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,ES; RJ; SP; PR; SC; RS,SC,[-47.32649387 -27.13061784]
437,1084,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus marginatus,Garoupa-verdadeira,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,ES; RJ; SP; PR; SC; RS,RS,[-53.11722701 -31.30878535]
438,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,AL,[-37.34387799  -7.06869491]
439,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,AP,[-52.11347832   2.44272754]
440,1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Garoupa ,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,3.0,Não,AL; AP; BA; CE; ES; MA;  PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,BA,[-43.07383276 -10.51641515]
